Start Date (in UTC),Account Name,Currency,Campaign Group ID,Campaign Group Name,Campaign Group Status,Campaign Group Start Date,Campaign Group End Date,Campaign Group Total Budget,Campaign ID,Campaign Name,Campaign Objective,Campaign Type,Campaign Status,Cost Type,Daily Budget,Total Budget,Campaign Start Date,Campaign End Date,Creative Name,Ad ID,Creative Status,Ad Introduction Text,Ad Headline,Ad Line,Click URL,Sponsored Update Type,DSC Name,Carousel Card,Total Spent,Impressions,Clicks,Click Through Rate,Average CPM,Average CPC,Card Impressions,Card Clicks,Card Click Through Rate,Reactions,Comments,Shares,Follows,Other Clicks,Total Social Actions,Total Engagements,Engagement Rate,Viral Impressions,Viral Clicks,Viral Reactions,Viral Comments,Viral Shares,Viral Follows,Viral Other Clicks,Sends,Opens,Clicks (Sponsored Messaging),Button Clicks,Banner Clicks,Link Clicks,Cost per Send,Open Rate,Cost per Open,Click Through Rate (Sponsored Messaging),Conversions,Post-Click Conversions,View-Through Conversions,Conversion Rate,Cost per Conversion,Total Conversion Value,Return on Ad Spend,Viral Conversions,Viral Post-Click Conversions,Viral View-Through Conversions,Leads,Lead Forms Opened,Lead Form Completion Rate,Cost per Lead,Event Registrations,Click Event Registrations,View Event Registrations,Viral Event Registrations,Viral Click Event Registrations,Viral View Event Registrations,Clicks to Landing Page,Clicks to LinkedIn Page,Download Clicks,Viral Download Clicks,Document Displays at 25%,Viral Document Displays at 25%,Document Displays at 50%,Viral Document Displays at 50%,Document Displays at 75%,Viral Document Displays at 75%,Document Displays at 100%,Viral Document Displays at 100%,Preview Download Clicks,Viral Preview Download Clicks,Leads (Work Email),Lead Form Completion Rate (Work Email),Cost Per Lead (Work Email),Headline Impressions,Headline Clicks,Headline Click Through Rate,Member Follows,Clicks to Member Profile,Qualified Leads,Cost Per Qualified Lead,Average Dwell Time (in Seconds),Subscriptions,Viral Subscriptions
10/1/2025,Binder,PEN,788203224,ADQ_LKD_ADS_BDR_CLM_Q4_2025,Paused,10/4/2025,11/29/2025,,434954634,ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P1_SINGLEIMAGE_291025,Lead generation,Sponsored Update,Completed,CPM,35.9,,10/29/2025,11/11/2025,ADQ_LKD_ADS_BDR_CLM_P1_SINGLEIMAGE_REPITETAREAS_291025,886202484,Active,"Si tu equipo legal sigue repitiendo tareas manuales —copiar datos, armar contratos, buscar documentos— está perdiendo tiempo valioso. Binder automatiza lo repetitivo con IA y Legal Ops, liberandoa los abogados para enfocarse en lo estratégico.

#Binder #LegalOps #LegalTech",Descarga el diagnóstico y lleva tu área al siguiente nivel,,https://thelegalbinder.com/?utm_medium=paid_social&utm_source=linkedin&utm_campaign=ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P1_SINGLEIMAGE_291025&hsa_acc=515713485&hsa_cam=788203224&hsa_grp=434954634&hsa_ad=886202484&hsa_net=linkedin&hsa_ver=3,DSC,ADQ_LKD_ADS_BDR_CLM_P1_SINGLEIMAGE_REPITETAREAS_291025,,21.68,295,2,0.68%,73.49,10.84,,,,2,0,0,0,3,5,6,2.03%,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0,0%,0,,,,0,0,0,0,2.604795848,0,0
11/1/2025,Binder,PEN,788203224,ADQ_LKD_ADS_BDR_CLM_Q4_2025,Paused,10/4/2025,11/29/2025,,434954634,ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P1_SINGLEIMAGE_291025,Lead generation,Sponsored Update,Completed,CPM,35.9,,10/29/2025,11/11/2025,ADQ_LKD_ADS_BDR_CLM_P1_SINGLEIMAGE_REPITETAREAS_291025,886202484,Active,"Si tu equipo legal sigue repitiendo tareas manuales —copiar datos, armar contratos, buscar documentos— está perdiendo tiempo valioso. Binder automatiza lo repetitivo con IA y Legal Ops, liberandoa los abogados para enfocarse en lo estratégico.

#Binder #LegalOps #LegalTech",Descarga el diagnóstico y lleva tu área al siguiente nivel,,https://thelegalbinder.com/?utm_medium=paid_social&utm_source=linkedin&utm_campaign=ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P1_SINGLEIMAGE_291025&hsa_acc=515713485&hsa_cam=788203224&hsa_grp=434954634&hsa_ad=886202484&hsa_net=linkedin&hsa_ver=3,DSC,ADQ_LKD_ADS_BDR_CLM_P1_SINGLEIMAGE_REPITETAREAS_291025,,77.84,669,2,0.30%,116.35,38.92,,,,0,0,0,0,4,4,6,0.90%,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0%,0,0,0,0,0,0,0,2,0%,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0%,0,,,,0,0,0,0,3.239063444,0,0
11/1/2025,Binder,PEN,788203224,ADQ_LKD_ADS_BDR_CLM_Q4_2025,Paused,10/4/2025,11/29/2025,,434925024,ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P2_SINGLEIMAGE_291025,Lead generation,Sponsored Update,Completed,CPM,35.9,,11/3/2025,11/9/2025,ADQ_LKD_ADS_BDR_CLM_P2_SINGLEIMAGE_CAOSLEGAL_291025,886222314,Active,"Las empresas pueden perder hasta un 9% de sus ingresos debido a contratos mal gestionados, firmas inválidas o procesos manuales. Con Binder centralizas, automatizas y aseguras trazabilidad para queel caos legal no se traduzca en pérdidas económicas. 

#Binder #LegalTech #LegalOps",Descubre tu nivel de madurez Legal Ops en minutos,,https://thelegalbinder.com/?utm_medium=paid_social&utm_source=linkedin&utm_campaign=ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P2_SINGLEIMAGE_291025&hsa_acc=515713485&hsa_cam=788203224&hsa_grp=434925024&hsa_ad=886222314&hsa_net=linkedin&hsa_ver=3,DSC,ADQ_LKD_ADS_BDR_CLM_P2_SINGLEIMAGE_CAOSLEGAL_291025,,81.65,808,5,0.62%,101.05,16.33,,,,0,0,0,0,5,5,10,1.24%,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0%,0,0,0,0,0,0,0,4,0%,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0,0%,0,,,,0,0,0,0,3.17528375,0,0
11/1/2025,Binder,PEN,788203224,ADQ_LKD_ADS_BDR_CLM_Q4_2025,Paused,10/4/2025,11/29/2025,,434925024,ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P2_SINGLEIMAGE_291025,Lead generation,Sponsored Update,Completed,CPM,35.9,,11/3/2025,11/9/2025,ADQ_LKD_ADS_BDR_CLM_P2_SINGLEIMAGE_REPITETAREAS_291025,886231964,Active,"Si tu equipo legal sigue repitiendo tareas manuales —copiar datos, armar contratos, buscar documentos— está perdiendo tiempo valioso. Binder automatiza lo repetitivo con IA y Legal Ops, liberando a los abogados para enfocarse en lo estratégico.

#Binder #LegalTech #LegalOps",Descubre tu nivel de madurez Legal Ops en minutos,,https://thelegalbinder.com/?utm_medium=paid_social&utm_source=linkedin&utm_campaign=ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P2_SINGLEIMAGE_291025&hsa_acc=515713485&hsa_cam=788203224&hsa_grp=434925024&hsa_ad=886231964&hsa_net=linkedin&hsa_ver=3,DSC,ADQ_LKD_ADS_BDR_CLM_P2_SINGLEIMAGE_REPITETAREAS_291025,,48.51,443,2,0.45%,109.49,24.25,,,,0,0,0,0,1,1,3,0.68%,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0%,0,0,0,0,0,0,0,2,0%,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0%,0,,,,0,0,0,0,2.866731818,0,0
10/1/2025,Binder,PEN,788203224,ADQ_LKD_ADS_BDR_CLM_Q4_2025,Paused,10/4/2025,11/29/2025,,434954634,ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P1_SINGLEIMAGE_291025,Lead generation,Sponsored Update,Completed,CPM,35.9,,10/29/2025,11/11/2025,ADQ_LKD_ADS_BDR_CLM_P1_SINGLEIMAGE_RIESGOINVISIBLE_291025,886231974,Paused,"Los mayores riesgos legales no son los que ves, sino los que se esconden: contratos olvidados en correos, plazosvencidos sin alertas, documentos sin versión oficial. Ese riesgoinvisible termina costando más de lo que imaginas.

#Binder #LgealTech #LegalOps",Descarga el diagnóstico y lleva tu área al siguiente nivel,,https://thelegalbinder.com/,DSC,ADQ_LKD_ADS_BDR_CLM_P1_SINGLEIMAGE_RIESGOINVISIBLE_291025,,27.28,142,0,0%,192.11,0,,,,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0%,0,,,,0,0,0,0,5.280647887,0,0
11/1/2025,Binder,PEN,788203224,ADQ_LKD_ADS_BDR_CLM_Q4_2025,Paused,10/4/2025,11/29/2025,,434925024,ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P2_SINGLEIMAGE_291025,Lead generation,Sponsored Update,Completed,CPM,35.9,,11/3/2025,11/9/2025,ADQ_LKD_ADS_BDR_CLM_P2_SINGLEIMAGE_EMPIEZACONTIGO_291025,886281854,Active,"Más del 80% de áreas legales aún trabajan con correos y carpetas compartidas. Eso significa desorden, riesgo y cero métricas. Binder transforma esa realidad con un workspace legal que centraliza procesos, asegura trazabilidad y libera a tu equipo de lo manual.

#Binder #LegalTech #LegalOps",Descarga el diagnóstico legal y evalúa la madurez de tu operación.,,https://thelegalbinder.com/?utm_medium=paid_social&utm_source=linkedin&utm_campaign=ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P2_SINGLEIMAGE_291025&hsa_acc=515713485&hsa_cam=788203224&hsa_grp=434925024&hsa_ad=886281854&hsa_net=linkedin&hsa_ver=3,DSC,ADQ_LKD_ADS_BDR_CLM_P2_SINGLEIMAGE_EMPIEZACONTIGO_291025,,24.99,296,1,0.34%,84.44,24.99,,,,0,0,0,0,2,2,3,1.01%,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0%,0,0,0,0,0,0,0,1,0%,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0%,0,,,,0,0,0,0,4.006904437,0,0
11/1/2025,Binder,PEN,788203224,ADQ_LKD_ADS_BDR_CLM_Q4_2025,Paused,10/4/2025,11/29/2025,,434925024,ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P2_SINGLEIMAGE_291025,Lead generation,Sponsored Update,Completed,CPM,35.9,,11/3/2025,11/9/2025,ADQ_LKD_ADS_BDR_CLM_P2_SINGLEIMAGE_RIESGOS_291025,886301844,Paused,"Los riesgos legales invisibles —plazos vencidos, contratos sin control, documentos dispersos— pueden convertirse en multas, retrasos y pérdidas de ingresos. Binder loshace visibles con trazabilidad y alertas inteligentes para que nadaquede fuera de tu radar.

#Binder #LegalTech #LegalOps",Descarga el diagnóstico y mide la eficiencia de tu equipo legal,,https://thelegalbinder.com/,DSC,ADQ_LKD_ADS_BDR_CLM_P2_SINGLEIMAGE_RIESGOS_291025,,15.33,104,0,0%,147.38,0,,,,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0%,0,,,,0,0,0,0,3.550961539,0,0
10/1/2025,Binder,PEN,788203224,ADQ_LKD_ADS_BDR_CLM_Q4_2025,Paused,10/4/2025,11/29/2025,,434954634,ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P1_SINGLEIMAGE_291025,Lead generation,Sponsored Update,Completed,CPM,35.9,,10/29/2025,11/11/2025,ADQ_LKD_ADS_BDR_CLM_P1_SINGLEIMAGE_CARPETASCOMPARTIDAS_291025,886301874,Active,"Más del 80% de áreas legales aún trabajan con correos y carpetas compartidas. Eso significa desorden, riesgo y cero métricas. Binder transforma esa realidad con un workspace legal que centraliza procesos, asegura trazabilidad y libera a tu equipo de lo manual.

#Binder #LegalTech #LegalOps",Descarga el diagnóstico y lleva tu área al siguiente nivel,,https://thelegalbinder.com/?utm_medium=paid_social&utm_source=linkedin&utm_campaign=ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P1_SINGLEIMAGE_291025&hsa_acc=515713485&hsa_cam=788203224&hsa_grp=434954634&hsa_ad=886301874&hsa_net=linkedin&hsa_ver=3,DSC,ADQ_LKD_ADS_BDR_CLM_P1_SINGLEIMAGE_CARPETASCOMPARTIDAS_291025,,21.22,216,1,0.46%,98.26,21.22,,,,0,0,0,0,1,1,2,0.93%,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0%,0,0,0,0,0,0,0,1,0%,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0%,0,,,,0,0,0,0,2.581915888,0,0
11/1/2025,Binder,PEN,788203224,ADQ_LKD_ADS_BDR_CLM_Q4_2025,Paused,10/4/2025,11/29/2025,,434954634,ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P1_SINGLEIMAGE_291025,Lead generation,Sponsored Update,Completed,CPM,35.9,,10/29/2025,11/11/2025,ADQ_LKD_ADS_BDR_CLM_P1_SINGLEIMAGE_CARPETASCOMPARTIDAS_291025,886301874,Active,"Más del 80% de áreas legales aún trabajan con correos y carpetas compartidas. Eso significa desorden, riesgo y cero métricas. Binder transforma esa realidad con un workspace legal que centraliza procesos, asegura trazabilidad y libera a tu equipo de lo manual.

#Binder #LegalTech #LegalOps",Descarga el diagnóstico y lleva tu área al siguiente nivel,,https://thelegalbinder.com/?utm_medium=paid_social&utm_source=linkedin&utm_campaign=ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P1_SINGLEIMAGE_291025&hsa_acc=515713485&hsa_cam=788203224&hsa_grp=434954634&hsa_ad=886301874&hsa_net=linkedin&hsa_ver=3,DSC,ADQ_LKD_ADS_BDR_CLM_P1_SINGLEIMAGE_CARPETASCOMPARTIDAS_291025,,38.76,384,1,0.26%,100.94,38.76,,,,0,0,0,0,1,1,2,0.52%,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0,0%,0,,,,0,0,0,0,3.094449086,0,0
10/1/2025,Binder,PEN,788203224,ADQ_LKD_ADS_BDR_CLM_Q4_2025,Paused,10/4/2025,11/29/2025,,434954634,ADQ_LKD_CAMP_ADS_LEADMAGNET_BDR_CLM_P1_SINGLEIMAGE_291025,Lead generation,Sponsored Update,Completed,CPM,35.9,,10/29/2025,11/11/2025,ADQ_LKD_ADS_BDR_CLM_P1_SINGLEIMAGE_CUELLODEBOTELLA_141025,886311864,Paused,"Las empresas pueden perder hasta un 9% de sus ingresos debido a contratos mal gestionados, firmas inválidas o procesos manuales. Con Binder centralizas, automatizas y aseguras trazabilidad para que el caos legal no se traduzca en pérdidas económicas.

#Binder #LegalTech #LegalOps",Descarga el diagnóstico y lleva tu área al siguiente nivel,,https://thelegalbinder.com/,DSC,ADQ_LKD_ADS_BDR_CLM_P1_SINGLEIMAGE_CUELLODEBOTELLA_141025,,24.69,151,0,0%,163.52,0,,,,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0%,0,,,,0,0,0,0,2.381145695,0,0
